縣市,鄉鎮,投票率
屏東縣,竹田鄉,35.7
屏東縣,新埤鄉,31.0
屏東縣,枋寮鄉,30.0
屏東縣,新園鄉,27.7
屏東縣,崁頂鄉,29.7
屏東縣,林邊鄉,32.7
屏東縣,南州鄉,30.9
屏東縣,佳冬鄉,29.0
屏東縣,琉球鄉,16.8
屏東縣,車城鄉,28.4
屏東縣,滿州鄉,25.1
屏東縣,枋山鄉,25.9
屏東縣,三地門鄉,29.4
屏東縣,霧臺鄉,35.5
屏東縣,瑪家鄉,34.3
屏東縣,泰武鄉,33.9
屏東縣,來義鄉,33.4
屏東縣,春日鄉,26.1
屏東縣,獅子鄉,30.7
屏東縣,牡丹鄉,33.3
宜蘭縣,宜蘭市,24.4
宜蘭縣,羅東鎮,24.5
宜蘭縣,蘇澳鎮,21.8
宜蘭縣,頭城鎮,21.4
宜蘭縣,礁溪鄉,21.4
宜蘭縣,壯圍鄉,20.5
宜蘭縣,員山鄉,20.3
宜蘭縣,冬山鄉,23.0
宜蘭縣,五結鄉,23.0
宜蘭縣,三星鄉,21.6
宜蘭縣,大同鄉,24.3
宜蘭縣,南澳鄉,26.9
花蓮縣,花蓮市,28.2
花蓮縣,鳳林鎮,30.5
花蓮縣,玉里鎮,24.2
花蓮縣,新城鄉,26.9
花蓮縣,吉安鄉,28.4
花蓮縣,壽豐鄉,27.6
花蓮縣,光復鄉,26.4
花蓮縣,豐濱鄉,24.4
花蓮縣,瑞穗鄉,25.0
花蓮縣,富里鄉,23.1
花蓮縣,秀林鄉,23.7
花蓮縣,萬榮鄉,24.7
花蓮縣,卓溪鄉,25.8
臺東縣,臺東市,27.0
臺東縣,成功鎮,23.5
臺東縣,關山鎮,21.9
臺東縣,卑南鄉,25.5
臺東縣,鹿野鄉,22.3
臺東縣,池上鄉,22.5
臺東縣,東河鄉,23.5
臺東縣,長濱鄉,25.9
臺東縣,太麻里鄉,23.2
臺東縣,大武鄉,25.1
臺東縣,綠島鄉,15.6
臺東縣,海端鄉,23.2
臺東縣,延平鄉,25.4
臺東縣,金峰鄉,30.5
臺東縣,達仁鄉,31.7
臺東縣,蘭嶼鄉,12.1
澎湖縣,馬公市,20.5
澎湖縣,湖西鄉,18.3
澎湖縣,白沙鄉,15.1
澎湖縣,西嶼鄉,16.6
澎湖縣,望安鄉,9.1
澎湖縣,七美鄉,10.3
金門縣,金城鎮,12.9
金門縣,金沙鎮,12.3
金門縣,金湖鎮,13.8
金門縣,金寧鄉,11.1
金門縣,烈嶼鄉,11.0
金門縣,烏坵鄉,8.7
連江縣,南竿鄉,21.7
連江縣,北竿鄉,16.2
連江縣,莒光鄉,15.3
連江縣,東引鄉,17.4
基隆市,中正區,26.2
基隆市,七堵區,26.9
基隆市,暖暖區,28.0
基隆市,仁愛區,27.7
基隆市,中山區,27.2
基隆市,安樂區,29.2
基隆市,信義區,30.1
新竹市,東區,31.4
新竹市,北區,29.6
新竹市,香山區,27.6
嘉義市,東區,28.7
嘉義市,西區,26.9
