type,city,district,voted,voted_agree,voted_disagree,valid,invalid,eligible
district,臺南市,南區,30782.0,19025.0,11548.0,30573.0,209.0,106487.0
district,臺南市,北區,32026.0,21621.0,10189.0,31810.0,216.0,108888.0
district,臺南市,安南區,43303.0,28579.0,14427.0,43006.0,297.0,171321.0
district,臺南市,安平區,16397.0,11111.0,5186.0,16297.0,100.0,61191.0
district,臺南市,中西區,18226.0,11151.0,6934.0,18085.0,141.0,63055.0
city,高雄市,,656998.0,423651.0,229579.0,653230.0,3768.0,2358186.0
district,高雄市,鹽埕區,5929.0,3378.0,2504.0,5882.0,47.0,20043.0
district,高雄市,鼓山區,33714.0,22081.0,11445.0,33526.0,188.0,117353.0
district,高雄市,左營區,48737.0,34281.0,14214.0,48495.0,242.0,167905.0
district,高雄市,楠梓區,46167.0,30891.0,15040.0,45931.0,236.0,163163.0
district,高雄市,三民區,80309.0,50053.0,29880.0,79933.0,376.0,284620.0
district,高雄市,新興區,12819.0,7978.0,4781.0,12759.0,60.0,43073.0
district,高雄市,前金區,7387.0,4617.0,2728.0,7345.0,42.0,25243.0
district,高雄市,苓雅區,41180.0,26158.0,14821.0,40979.0,201.0,141124.0
district,高雄市,前鎮區,45128.0,27923.0,16962.0,44885.0,243.0,156645.0
district,高雄市,旗津區,5118.0,2876.0,2204.0,5080.0,38.0,22739.0
district,高雄市,小港區,33849.0,21108.0,12545.0,33653.0,196.0,131880.0
district,高雄市,鳳山區,86910.0,57538.0,28921.0,86459.0,451.0,302364.0
district,高雄市,林園區,15057.0,8836.0,6091.0,14927.0,130.0,58634.0
district,高雄市,大寮區,26965.0,16911.0,9858.0,26769.0,196.0,98849.0
district,高雄市,大樹區,9671.0,5662.0,3929.0,9591.0,80.0,35823.0
district,高雄市,大社區,8256.0,4960.0,3245.0,8205.0,51.0,30172.0
district,高雄市,仁武區,22894.0,14628.0,8121.0,22749.0,145.0,85830.0
district,高雄市,鳥松區,11744.0,7435.0,4249.0,11684.0,60.0,39400.0
district,高雄市,岡山區,23642.0,16233.0,7275.0,23508.0,134.0,80826.0
district,高雄市,橋頭區,11438.0,6710.0,4666.0,11376.0,62.0,37800.0
district,高雄市,燕巢區,6804.0,4406.0,2334.0,6740.0,64.0,25553.0
district,高雄市,田寮區,1205.0,818.0,380.0,1198.0,7.0,5842.0
district,高雄市,阿蓮區,5696.0,3569.0,2088.0,5657.0,39.0,23518.0
district,高雄市,路竹區,11523.0,7778.0,3691.0,11469.0,54.0,42122.0
district,高雄市,湖內區,6549.0,4272.0,2237.0,6509.0,40.0,26017.0
district,高雄市,茄萣區,6197.0,3861.0,2300.0,6161.0,36.0,25577.0
district,高雄市,永安區,2727.0,1824.0,889.0,2713.0,14.0,12001.0
district,高雄市,彌陀區,4277.0,2953.0,1297.0,4250.0,27.0,15810.0
district,高雄市,梓官區,8372.0,5017.0,3285.0,8302.0,70.0,30930.0
district,高雄市,旗山區,7550.0,4899.0,2596.0,7495.0,55.0,29857.0
district,高雄市,美濃區,9733.0,7126.0,2529.0,9655.0,78.0,33219.0
district,高雄市,六龜區,2022.0,1346.0,651.0,1997.0,25.0,10392.0
district,高雄市,甲仙區,1150.0,836.0,300.0,1136.0,14.0,4882.0
district,高雄市,杉林區,2033.0,1493.0,525.0,2018.0,15.0,9769.0
district,高雄市,內門區,2554.0,1805.0,714.0,2519.0,35.0,11756.0
district,高雄市,茂林區,375.0,302.0,71.0,373.0,2.0,1560.0
district,高雄市,桃源區,717.0,607.0,101.0,708.0,9.0,3428.0
district,高雄市,那瑪夏區,600.0,482.0,112.0,594.0,6.0,2467.0
city,新竹縣,,188290.0,149516.0,36135.0,185651.0,2639.0,488509.0
district,新竹縣,竹北市,71097.0,53361.0,16909.0,70270.0,827.0,167375.0
district,新竹縣,竹東鎮,37837.0,29968.0,7235.0,37203.0,634.0,82583.0
district,新竹縣,新埔鎮,9703.0,8044.0,1523.0,9567.0,136.0,30101.0
district,新竹縣,關西鎮,7385.0,6282.0,957.0,7239.0,146.0,23285.0
district,新竹縣,湖口鄉,21894.0,18843.0,2768.0,21611.0,283.0,70386.0
district,新竹縣,新豐鄉,14664.0,12442.0,2065.0,14507.0,157.0,49362.0
district,新竹縣,芎林鄉,6536.0,5522.0,916.0,6438.0,98.0,18169.0
district,新竹縣,橫山鄉,5129.0,4043.0,977.0,5020.0,109.0,10727.0
district,新竹縣,北埔鄉,3559.0,2820.0,675.0,3495.0,64.0,7587.0
district,新竹縣,寶山鄉,5931.0,4551.0,1283.0,5834.0,97.0,13193.0
district,新竹縣,峨眉鄉,2150.0,1632.0,472.0,2104.0,46.0,4613.0
district,新竹縣,尖石鄉,1542.0,1291.0,220.0,1511.0,31.0,7372.0
district,新竹縣,五峰鄉,863.0,717.0,135.0,852.0,11.0,3756.0
city,苗栗縣,,132546.0,113477.0,17612.0,131089.0,1457.0,457783.0
district,苗栗縣,苗栗市,23992.0,21185.0,2570.0,23755.0,237.0,73455.0
district,苗栗縣,苑裡鎮,9046.0,6973.0,1979.0,8952.0,94.0,38062.0
district,苗栗縣,通霄鎮,6377.0,5045.0,1249.0,6294.0,83.0,27603.0
district,苗栗縣,竹南鎮,20915.0,17371.0,3378.0,20749.0,166.0,74371.0
district,苗栗縣,頭份市,27535.0,24181.0,3084.0,27265.0,270.0,89877.0
district,苗栗縣,後龍鎮,7047.0,5770.0,1194.0,6964.0,83.0,29729.0
district,苗栗縣,卓蘭鎮,3298.0,2663.0,597.0,3260.0,38.0,13198.0
district,苗栗縣,大湖鄉,3031.0,2641.0,340.0,2981.0,50.0,11213.0
district,苗栗縣,公館鄉,8554.0,7493.0,953.0,8446.0,108.0,26894.0
district,苗栗縣,銅鑼鄉,4558.0,4077.0,421.0,4498.0,60.0,14321.0
district,苗栗縣,南庄鄉,2130.0,1905.0,196.0,2101.0,29.0,7818.0
district,苗栗縣,頭屋鄉,2903.0,2558.0,302.0,2860.0,43.0,8674.0
district,苗栗縣,三義鄉,4274.0,3767.0,445.0,4212.0,62.0,12823.0
district,苗栗縣,西湖鄉,1637.0,1461.0,161.0,1622.0,15.0,5554.0
district,苗栗縣,造橋鄉,3223.0,2797.0,366.0,3163.0,60.0,10517.0
district,苗栗縣,三灣鄉,1733.0,1535.0,180.0,1715.0,18.0,5156.0
district,苗栗縣,獅潭鄉,1098.0,964.0,111.0,1075.0,23.0,3710.0
district,苗栗縣,泰安鄉,1195.0,1091.0,86.0,1177.0,18.0,4808.0
city,彰化縣,,281149.0,222117.0,56089.0,278206.0,2943.0,1042775.0
district,彰化縣,彰化市,56632.0,43873.0,12285.0,56158.0,474.0,186265.0
district,彰化縣,鹿港鎮,18306.0,13988.0,4144.0,18132.0,174.0,69207.0
district,彰化縣,和美鎮,20536.0,16585.0,3733.0,20318.0,218.0,74318.0
district,彰化縣,線西鄉,3976.0,3294.0,640.0,3934.0,42.0,13874.0
district,彰化縣,伸港鄉,8186.0,6798.0,1303.0,8101.0,85.0,32041.0
district,彰化縣,福興鄉,9317.0,7293.0,1920.0,9213.0,104.0,38609.0
district,彰化縣,秀水鄉,9404.0,7418.0,1888.0,9306.0,98.0,32072.0
district,彰化縣,花壇鄉,10982.0,8857.0,2021.0,10878.0,104.0,37752.0
district,彰化縣,芬園鄉,4882.0,3832.0,984.0,4816.0,66.0,19273.0
district,彰化縣,員林市,29085.0,22889.0,5945.0,28834.0,251.0,101819.0
district,彰化縣,溪湖鎮,11303.0,9200.0,1999.0,11199.0,104.0,43965.0
district,彰化縣,田中鎮,8972.0,7165.0,1714.0,8879.0,93.0,33757.0
district,彰化縣,大村鄉,9118.0,7215.0,1789.0,9004.0,114.0,33863.0
district,彰化縣,埔鹽鄉,7274.0,6172.0,1028.0,7200.0,74.0,27014.0
